date,time_slot,demand_count,day_of_week,month,is_weekend,is_holiday,is_school_term,is_farming_season,is_month_boundary,season,consecutive_holiday_count,temperature,feels_like_temp,precipitation_mm,snowfall_cm,wind_speed,weather_label,is_extreme_weather,lag_1_demand,lag_7_demand,lag_14_demand,rolling_7day_avg,rolling_14day_avg,days_since_last_operation
2020-04-08,daytime,4,2,4,0,0,1,0,0,spring,0,9.8,9.1,0.0,0.0,3.7,cloudy,0,1.0,0.0,,0.57,0.57,
2020-04-08,evening,0,2,4,0,0,1,0,0,spring,0,9.8,9.1,0.0,0.0,3.7,cloudy,0,1.0,2.0,,1.29,1.29,
2020-04-08,morning,0,2,4,0,0,1,0,0,spring,0,9.8,9.1,0.0,0.0,3.7,cloudy,0,0.0,0.0,,0.0,0.0,
2020-04-09,daytime,0,3,4,0,0,1,0,0,spring,0,10.0,10.0,3.0,0.0,1.0,rainy,0,4.0,0.0,,1.14,1.0,1.0
2020-04-09,evening,1,3,4,0,0,1,0,0,spring,0,10.0,10.0,3.0,0.0,1.0,rainy,0,0.0,0.0,,1.0,1.12,1.0
2020-04-09,morning,3,3,4,0,0,1,0,0,spring,0,10.0,10.0,3.0,0.0,1.0,rainy,0,0.0,0.0,,0.0,0.0,1.0
2020-04-10,daytime,0,4,4,0,0,1,0,0,spring,0,17.8,17.1,0.0,0.0,3.7,sunny,0,0.0,2.0,,1.14,0.89,1.0
2020-04-10,evening,0,4,4,0,0,1,0,0,spring,0,17.8,17.1,0.0,0.0,3.7,sunny,0,1.0,1.0,,1.14,1.11,1.0
2020-04-10,morning,2,4,4,0,0,1,0,0,spring,0,17.8,17.1,0.0,0.0,3.7,sunny,0,3.0,0.0,,0.43,0.33,1.0
2020-04-11,daytime,1,5,4,1,0,0,0,0,spring,1,10.2,8.6,0.0,0.0,6.0,cloudy,0,0.0,0.0,,0.86,0.8,1.0
2020-04-11,evening,0,5,4,1,0,0,0,0,spring,1,10.2,8.6,0.0,0.0,6.0,cloudy,0,0.0,0.0,,1.0,1.0,1.0
2020-04-11,morning,0,5,4,1,0,0,0,0,spring,1,10.2,8.6,0.0,0.0,6.0,cloudy,0,2.0,0.0,,0.71,0.5,1.0
2020-04-12,daytime,2,6,4,1,0,0,0,0,spring,2,17.6,17.6,0.0,0.0,0.4,sunny,0,1.0,1.0,,1.0,0.82,1.0
2020-04-12,evening,1,6,4,1,0,0,0,0,spring,2,17.6,17.6,0.0,0.0,0.4,sunny,0,0.0,1.0,,1.0,0.91,1.0
2020-04-12,morning,1,6,4,1,0,0,0,0,spring,2,17.6,17.6,0.0,0.0,0.4,sunny,0,0.0,0.0,,0.71,0.45,1.0
2020-04-13,daytime,1,0,4,0,0,1,0,0,spring,0,12.4,12.4,0.0,0.0,1.4,sunny,0,2.0,0.0,,1.14,0.92,1.0
2020-04-13,evening,0,0,4,0,0,1,0,0,spring,0,12.4,12.4,0.0,0.0,1.4,sunny,0,1.0,4.0,,1.0,0.92,1.0
2020-04-13,morning,1,0,4,0,0,1,0,0,spring,0,12.4,12.4,0.0,0.0,1.4,sunny,0,1.0,0.0,,0.86,0.5,1.0
2020-04-14,daytime,1,1,4,0,0,1,0,0,spring,0,13.5,11.4,3.3,0.0,7.2,rainy,0,1.0,1.0,,1.29,0.92,1.0
2020-04-14,evening,0,1,4,0,0,1,0,0,spring,0,13.5,11.4,3.3,0.0,7.2,rainy,0,0.0,1.0,,0.43,0.85,1.0
2020-04-14,morning,0,1,4,0,0,1,0,0,spring,0,13.5,11.4,3.3,0.0,7.2,rainy,0,1.0,0.0,,1.0,0.54,1.0
2020-04-15,daytime,1,2,4,0,0,1,0,0,spring,0,14.4,14.4,0.0,0.0,0.8,cloudy,0,1.0,4.0,0.0,1.29,0.93,1.0
2020-04-15,evening,0,2,4,0,0,1,0,0,spring,0,14.4,14.4,0.0,0.0,0.8,cloudy,0,0.0,0.0,2.0,0.29,0.79,1.0
2020-04-15,morning,2,2,4,0,0,1,0,0,spring,0,14.4,14.4,0.0,0.0,0.8,cloudy,0,0.0,0.0,0.0,1.0,0.5,1.0
